Date,GDP,Economic growth rate,Regular Gasoline,Diesel for automobiles,population,Car registration,Traffic rate,Economic growth state
2015-02-15,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,5210676.0,weak positive
2015-02-16,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,5350747.0,weak positive
2015-02-17,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,5204193.0,weak positive
2015-02-18,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,3926548.0,weak positive
2015-02-19,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,5006227.0,weak positive
2015-02-20,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,5044339.5,weak positive
2015-02-21,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,5158059.0,weak positive
2015-02-22,394273,2.4,1469.75,1300.98,10105206.0,3056588.0,5076186.0,weak positive
2015-02-23,394273,2.4,1489.59,1315.79,10105206.0,3056588.0,5215284.0,weak positive
2015-02-24,394273,2.4,1489.59,1315.79,10105206.0,3056588.0,4823026.5,weak positive
2015-02-25,394273,2.4,1489.59,1315.79,10105206.0,3056588.0,4375399.0,weak positive
2015-02-26,394273,2.4,1489.59,1315.79,10105206.0,3056588.0,5091582.0,weak positive
2015-02-27,394273,2.4,1489.59,1315.79,10105206.0,3056588.0,5052918.0,weak positive
2015-02-28,394273,2.4,1489.59,1315.79,10105206.0,3056588.0,4296328.5,weak positive
2015-03-01,394273,2.4,1489.59,1315.79,10100987.0,3056588.0,5425467.0,weak positive
2015-03-02,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,2058673.0,weak positive
2015-03-03,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,28201.0,weak positive
2015-03-04,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,84603.0,weak positive
2015-03-05,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,4862502.0,weak positive
2015-03-06,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,5061137.0,weak positive
2015-03-07,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,5058581.0,weak positive
2015-03-08,394273,2.4,1506.26,1327.18,10100987.0,3056588.0,5103969.0,weak positive
2015-03-09,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,5178524.0,weak positive
2015-03-10,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,5232081.0,weak positive
2015-03-11,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,4405864.5,weak positive
2015-03-12,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,4946020.5,weak positive
2015-03-13,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,5133836.0,weak positive
2015-03-14,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,5164635.0,weak positive
2015-03-15,394273,2.4,1516.03,1333.11,10100987.0,3056588.0,5222772.5,weak positive
2015-03-16,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,5294810.0,weak positive
2015-03-17,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,5274743.5,weak positive
2015-03-18,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,4396588.0,weak positive
2015-03-19,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,4964734.5,weak positive
2015-03-20,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,4816472.5,weak positive
2015-03-21,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,5122192.0,weak positive
2015-03-22,394273,2.4,1513.71,1329.61,10100987.0,3056588.0,5152063.0,weak positive
2015-03-23,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,5132527.0,weak positive
2015-03-24,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,5056831.0,weak positive
2015-03-25,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,4162375.5,weak positive
2015-03-26,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,5017701.0,weak positive
2015-03-27,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,5091308.0,weak positive
2015-03-28,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,5136909.5,weak positive
2015-03-29,394273,2.4,1510.61,1325.47,10100987.0,3056588.0,5206650.0,weak positive
2015-03-30,394273,2.4,1508.25,1321.99,10100987.0,3056588.0,5366866.5,weak positive
2015-03-31,394273,2.4,1508.25,1321.99,10100987.0,3056588.0,5288645.0,weak positive
2015-04-01,411387,2.0,1508.25,1321.99,10094889.0,3056588.0,4514618.5,weak positive
2015-04-02,411387,2.0,1508.25,1321.99,10094889.0,3056588.0,4899079.0,weak positive
2015-04-03,411387,2.0,1508.25,1321.99,10094889.0,3056588.0,5051794.5,weak positive
2015-04-04,411387,2.0,1508.25,1321.99,10094889.0,3056588.0,5317094.0,weak positive
2015-04-05,411387,2.0,1508.25,1321.99,10094889.0,3056588.0,5778218.5,weak positive
2015-04-06,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,5835369.5,weak positive
2015-04-07,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,5736011.5,weak positive
2015-04-08,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,4568436.0,weak positive
2015-04-09,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,5421536.0,weak positive
2015-04-10,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,5756720.5,weak positive
2015-04-11,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,5880283.5,weak positive
2015-04-12,411387,2.0,1505.81,1318.76,10094889.0,3056588.0,5843369.0,weak positive
2015-04-13,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,5815248.0,weak positive
2015-04-14,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,5662629.0,weak positive
2015-04-15,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,4729664.5,weak positive
2015-04-16,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,5465083.5,weak positive
2015-04-17,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,5781777.0,weak positive
2015-04-18,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,5585896.0,weak positive
2015-04-19,411387,2.0,1505.77,1317.99,10094889.0,3056588.0,6037454.5,weak positive
2015-04-20,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,5613937.0,weak positive
2015-04-21,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,5341561.0,weak positive
2015-04-22,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,4465169.5,weak positive
2015-04-23,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,5681348.5,weak positive
2015-04-24,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,5719921.5,weak positive
2015-04-25,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,6241847.0,weak positive
2015-04-26,411387,2.0,1509.27,1320.07,10094889.0,3056588.0,5418746.0,weak positive
2015-04-27,411387,2.0,1516.28,1324.08,10094889.0,3056588.0,4955523.0,weak positive
2015-04-28,411387,2.0,1516.28,1324.08,10094889.0,3056588.0,4356656.0,weak positive
2015-04-29,411387,2.0,1516.28,1324.08,10094889.0,3056588.0,5309301.0,weak positive
2015-04-30,411387,2.0,1516.28,1324.08,10094889.0,3056588.0,5918362.5,weak positive
2015-05-01,411387,2.0,1516.28,1324.08,10088393.0,3056588.0,5944673.0,weak positive
2015-05-02,411387,2.0,1516.28,1324.08,10088393.0,3056588.0,6102721.0,weak positive
2015-05-03,411387,2.0,1516.28,1324.08,10088393.0,3056588.0,6041230.5,weak positive
2015-05-04,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5902899.5,weak positive
2015-05-05,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5103442.0,weak positive
2015-05-06,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5955499.0,weak positive
2015-05-07,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5934137.0,weak positive
2015-05-08,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5805584.5,weak positive
2015-05-09,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5966317.0,weak positive
2015-05-10,411387,2.0,1532.18,1335.52,10088393.0,3056588.0,5991687.0,weak positive
2015-05-11,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,6060337.0,weak positive
2015-05-12,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,5232721.5,weak positive
2015-05-13,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,5937353.0,weak positive
2015-05-14,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,5956818.0,weak positive
2015-05-15,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,5944364.5,weak positive
2015-05-16,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,6202252.0,weak positive
2015-05-17,411387,2.0,1550.92,1350.47,10088393.0,3056588.0,5976571.5,weak positive
2015-05-18,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,5302310.5,weak positive
2015-05-19,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,5935675.0,weak positive
2015-05-20,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,6071002.0,weak positive
2015-05-21,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,6086601.5,weak positive
2015-05-22,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,6031255.5,weak positive
2015-05-23,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,6198615.0,weak positive
2015-05-24,411387,2.0,1564.84,1360.61,10088393.0,3056588.0,5025556.0,weak positive
2015-05-25,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,5715292.0,weak positive
2015-05-26,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,5776889.0,weak positive
2015-05-27,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,5819973.0,weak positive
2015-05-28,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,5922982.0,weak positive
2015-05-29,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,5983461.0,weak positive
2015-05-30,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,5562019.0,weak positive
2015-05-31,411387,2.0,1572.41,1365.72,10088393.0,3056588.0,4915209.0,weak positive
2015-06-01,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,5773832.0,weak positive
2015-06-02,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,5835312.0,weak positive
2015-06-03,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,5822703.5,weak positive
2015-06-04,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,5983865.0,weak positive
2015-06-05,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,6096301.0,weak positive
2015-06-06,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,5590989.5,weak positive
2015-06-07,411387,2.0,1576.74,1368.13,10078850.0,3056588.0,4799062.5,weak positive
2015-06-08,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,5861902.5,weak positive
2015-06-09,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,5953439.0,weak positive
2015-06-10,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,6127635.5,weak positive
2015-06-11,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,5900260.5,weak positive
2015-06-12,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,5803340.5,weak positive
2015-06-13,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,5627529.5,weak positive
2015-06-14,411387,2.0,1581.0,1369.56,10078850.0,3056588.0,4951988.0,weak positive
2015-06-15,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,5552165.0,weak positive
2015-06-16,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,5646973.5,weak positive
2015-06-17,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,5588232.0,weak positive
2015-06-18,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,5692483.0,weak positive
2015-06-19,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,5756318.5,weak positive
2015-06-20,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,5862725.5,weak positive
2015-06-21,411387,2.0,1584.29,1370.16,10078850.0,3056588.0,4889996.0,weak positive
2015-06-22,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,5589886.5,weak positive
2015-06-23,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,5864129.5,weak positive
2015-06-24,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,5757722.0,weak positive
2015-06-25,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,5821984.0,weak positive
2015-06-26,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,5872713.5,weak positive
2015-06-27,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,5639367.5,weak positive
2015-06-28,411387,2.0,1584.63,1368.87,10078850.0,3056588.0,4426255.5,weak positive
2015-06-29,411387,2.0,1583.26,1365.84,10078850.0,3056588.0,5432049.0,weak positive
2015-06-30,411387,2.0,1583.26,1365.84,10078850.0,3056588.0,5844538.5,weak positive
2015-07-01,420791,3.3,1583.26,1365.84,10071654.0,3056588.0,5785915.5,weak positive
2015-07-02,420791,3.3,1583.26,1365.84,10071654.0,3056588.0,5761443.5,weak positive
2015-07-03,420791,3.3,1583.26,1365.84,10071654.0,3056588.0,6113547.0,weak positive
2015-07-04,420791,3.3,1583.26,1365.84,10071654.0,3056588.0,5588261.5,weak positive
2015-07-05,420791,3.3,1583.26,1365.84,10071654.0,3056588.0,4757850.5,weak positive
2015-07-06,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,5525159.0,weak positive
2015-07-07,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,5711172.5,weak positive
2015-07-08,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,5791722.0,weak positive
2015-07-09,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,5712179.0,weak positive
2015-07-10,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,5522217.5,weak positive
2015-07-11,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,2042550.0,weak positive
2015-07-12,420791,3.3,1579.03,1358.69,10071654.0,3056588.0,5483127.0,weak positive
2015-07-13,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,5648189.5,weak positive
2015-07-14,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,5685118.5,weak positive
2015-07-15,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,5574063.5,weak positive
2015-07-16,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,5695344.0,weak positive
2015-07-17,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,5219542.5,weak positive
2015-07-18,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,4427898.5,weak positive
2015-07-19,420791,3.3,1572.57,1349.16,10071654.0,3056588.0,5329134.5,weak positive
2015-07-20,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,5584480.0,weak positive
2015-07-21,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,5380109.0,weak positive
2015-07-22,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,5545504.0,weak positive
2015-07-23,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,5628503.5,weak positive
2015-07-24,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,5256677.5,weak positive
2015-07-25,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,4478593.0,weak positive
2015-07-26,420791,3.3,1566.17,1339.69,10071654.0,3056588.0,5438676.5,weak positive
2015-07-27,420791,3.3,1559.68,1330.01,10071654.0,3056588.0,5640775.5,weak positive
2015-07-28,420791,3.3,1559.68,1330.01,10071654.0,3056588.0,5712713.0,weak positive
2015-07-29,420791,3.3,1559.68,1330.01,10071654.0,3056588.0,5654877.5,weak positive
2015-07-30,420791,3.3,1559.68,1330.01,10071654.0,3056588.0,5647683.5,weak positive
2015-07-31,420791,3.3,1559.68,1330.01,10071654.0,3056588.0,4581118.5,weak positive
2015-08-01,420791,3.3,1559.68,1330.01,10063197.0,3056588.0,5465519.5,weak positive
2015-08-02,420791,3.3,1559.68,1330.01,10063197.0,3056588.0,5736092.0,weak positive
2015-08-03,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,5720530.0,weak positive
2015-08-04,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,5673140.5,weak positive
2015-08-05,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,5774228.5,weak positive
2015-08-06,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,5481071.5,weak positive
2015-08-07,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,4647103.5,weak positive
2015-08-08,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,5669615.5,weak positive
2015-08-09,420791,3.3,1552.46,1318.71,10063197.0,3056588.0,5504202.0,weak positive
2015-08-10,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,5660269.5,weak positive
2015-08-11,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,5623032.0,weak positive
2015-08-12,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,5987935.0,weak positive
2015-08-13,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,5584241.5,weak positive
2015-08-14,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,4814427.0,weak positive
2015-08-15,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,5546294.0,weak positive
2015-08-16,420791,3.3,1543.76,1306.09,10063197.0,3056588.0,5595279.0,weak positive
2015-08-17,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5655583.5,weak positive
2015-08-18,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5751040.0,weak positive
2015-08-19,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5978746.5,weak positive
2015-08-20,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5616205.5,weak positive
2015-08-21,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5009487.5,weak positive
2015-08-22,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5301538.5,weak positive
2015-08-23,420791,3.3,1531.96,1289.93,10063197.0,3056588.0,5659826.0,weak positive
2015-08-24,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,5732356.5,weak positive
2015-08-25,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,5798371.0,weak positive
2015-08-26,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,5831018.0,weak positive
2015-08-27,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,5707911.0,weak positive
2015-08-28,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,4828716.5,weak positive
2015-08-29,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,5479111.5,weak positive
2015-08-30,420791,3.3,1520.69,1274.99,10063197.0,3056588.0,5713460.5,weak positive
2015-08-31,420791,3.3,1515.06,1267.45,10063197.0,3056588.0,5686328.5,weak positive
2015-09-01,420791,3.3,1515.06,1267.45,10055027.0,3056588.0,5727960.5,weak positive
2015-09-02,420791,3.3,1515.06,1267.45,10055027.0,3056588.0,5982681.0,weak positive
2015-09-03,420791,3.3,1515.06,1267.45,10055027.0,3056588.0,5897044.5,weak positive
2015-09-04,420791,3.3,1515.06,1267.45,10055027.0,3056588.0,5025503.0,weak positive
2015-09-05,420791,3.3,1515.06,1267.45,10055027.0,3056588.0,5618292.5,weak positive
2015-09-06,420791,3.3,1515.06,1267.45,10055027.0,3056588.0,5687273.0,weak positive
2015-09-07,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,5641229.5,weak positive
2015-09-08,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,5664585.0,weak positive
2015-09-09,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,5577939.0,weak positive
2015-09-10,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,5243631.0,weak positive
2015-09-11,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,5202915.5,weak positive
2015-09-12,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,5460155.5,weak positive
2015-09-13,420791,3.3,1512.32,1264.37,10055027.0,3056588.0,4543542.0,weak positive
2015-09-14,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,5300923.5,weak positive
2015-09-15,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,5372392.5,weak positive
2015-09-16,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,5508860.5,weak positive
2015-09-17,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,5658174.5,weak positive
2015-09-18,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,5073293.0,weak positive
2015-09-19,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,4523969.5,weak positive
2015-09-20,420791,3.3,1507.92,1259.89,10055027.0,3056588.0,5241722.0,weak positive
2015-09-21,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,5290387.5,weak positive
2015-09-22,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,5336907.5,weak positive
2015-09-23,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,5339970.0,weak positive
2015-09-24,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,5551763.5,weak positive
2015-09-25,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,5616327.0,weak positive
2015-09-26,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,4507183.5,weak positive
2015-09-27,420791,3.3,1504.74,1256.54,10055027.0,3056588.0,5104188.5,weak positive
2015-09-28,420791,3.3,1502.11,1254.23,10055027.0,3056588.0,5365435.0,weak positive
2015-09-29,420791,3.3,1502.11,1254.23,10055027.0,3056588.0,5345569.5,weak positive
2015-09-30,420791,3.3,1502.11,1254.23,10055027.0,3056588.0,5133988.5,weak positive
2015-10-01,431570,3.4,1502.11,1254.23,10045027.0,3056588.0,5242656.5,weak positive
2015-10-02,431570,3.4,1502.11,1254.23,10045027.0,3056588.0,5172474.0,weak positive
2015-10-03,431570,3.4,1502.11,1254.23,10045027.0,3056588.0,4463213.5,weak positive
2015-10-04,431570,3.4,1502.11,1254.23,10045027.0,3056588.0,4937177.0,weak positive
2015-10-05,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,5104738.0,weak positive
2015-10-06,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,5702996.5,weak positive
2015-10-07,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,5611131.0,weak positive
2015-10-08,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,5496655.0,weak positive
2015-10-09,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,5393767.5,weak positive
2015-10-10,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,4645950.5,weak positive
2015-10-11,431570,3.4,1501.26,1254.04,10045027.0,3056588.0,5386714.5,weak positive
2015-10-12,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,5366133.5,weak positive
2015-10-13,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,5370252.5,weak positive
2015-10-14,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,5701676.0,weak positive
2015-10-15,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,5599977.0,weak positive
2015-10-16,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,5059666.0,weak positive
2015-10-17,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,4490086.0,weak positive
2015-10-18,431570,3.4,1499.14,1252.62,10045027.0,3056588.0,5276812.5,weak positive
2015-10-19,431570,3.4,1492.66,1247.19,10045027.0,3056588.0,5415677.5,weak positive
2015-10-20,431570,3.4,1492.66,1247.19,10045027.0,3056588.0,5575177.5,weak positive
2015-10-21,431570,3.4,1492.66,1247.19,10045027.0,3056588.0,5511491.0,weak positive
2015-10-22,431570,3.4,1492.66,1247.19,10045027.0,3056588.0,5657979.5,weak positive
